,Date,Open,High,Low,Close,Volume,label,interest_rate,usd_hkd,RSI,MACD
0,1992-05-19,5637.10009765625,5663.7001953125,5635.89990234375,5642.2001953125,0,1,,7.7343,71.05661755681489,157.83845175826355
1,1992-05-20,5663.7998046875,5761.89990234375,5663.7998046875,5753.7998046875,0,1,,7.7355,74.98699587996451,157.11792460105062
2,1992-05-21,5769.7001953125,5884.10009765625,5769.7001953125,5865.60009765625,0,1,,7.7333,74.89557085277801,163.65678970043518
3,1992-05-22,5869.60009765625,5923.89990234375,5841.39990234375,5859.7001953125,0,0,,7.74,69.14218164402516,166.44440160785507
4,1992-05-25,5903.2001953125,6032.10009765625,5903.2001953125,5993.10009765625,0,1,,7.748,73.86260243902596,177.34800622585863
5,1992-05-26,5995.39990234375,6052.60009765625,5957.0,6052.10009765625,0,1,,7.741,80.68554163121593,188.56526734696035
6,1992-05-27,6058.2998046875,6101.89990234375,6005.2998046875,6012.5,0,0,,7.741,75.24061627120258,192.0511520503087
7,1992-05-28,6094.7001953125,6105.39990234375,5967.7998046875,5988.10009765625,0,0,,7.748,74.94419868282603,190.65004695194875
8,1992-05-29,5983.7001953125,6084.2001953125,5970.7001953125,6080.2001953125,0,1,,7.7435,76.99821522754672,194.71371234882463
9,1992-06-01,6099.39990234375,6161.2001953125,6044.60009765625,6056.0,0,0,0.045,7.7395,72.43943429234905,193.7504259199759
10,1992-06-02,6058.5,6081.5,5999.89990234375,6059.39990234375,0,1,0.045,7.739,70.60431655636832,191.05805390667228
11,1992-06-03,6057.60009765625,6057.60009765625,5996.89990234375,6037.39990234375,0,0,0.045,7.738,69.60506406758935,185.01827558536934
12,1992-06-04,6012.0,6067.7001953125,5979.7001953125,6035.7998046875,0,0,0.045,7.7365,73.61367103973627,178.04995335319927
13,1992-06-08,6026.10009765625,6039.89990234375,5978.10009765625,5978.7998046875,0,0,0.045,7.7365,74.72143385524522,166.01930028880452
14,1992-06-09,5953.0,5973.0,5898.2001953125,5940.2001953125,0,0,0.045,7.7323,70.56308036496449,151.62552532810787
15,1992-06-10,5941.60009765625,5989.2001953125,5889.7998046875,5917.5,0,0,0.045,7.7345,62.87558164364159,136.81123549652784
16,1992-06-11,5894.5,5894.7001953125,5791.10009765625,5826.5,0,0,0.045,7.734,46.82061279346311,116.39276225131289
17,1992-06-12,5829.89990234375,5881.7998046875,5786.39990234375,5819.10009765625,0,0,0.045,7.7315,46.70667552818589,98.47915724423274
